2024-01-26 11:47:16.647643+01,247300000,14.261483,40.842837,0.000000,320.100000
2024-01-26 11:48:54.372199+01,247300000,14.261483,40.842837,0.000000,320.100000
2024-01-26 11:50:54.864124+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 11:51:54.871024+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 11:54:34.822066+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 11:55:35.038571+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 11:57:15.591669+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 11:58:15.393576+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 12:00:54.315211+01,247300000,14.261467,40.842837,0.000000,320.100000
2024-01-26 12:02:33.751792+01,247300000,14.261650,40.842670,1.200000,199.200000
2024-01-26 12:03:33.760391+01,247300000,14.261917,40.842367,1.100000,143.300000
2024-01-26 12:04:33.716826+01,247300000,14.262150,40.842137,1.000000,144.300000
2024-01-26 12:05:45.754565+01,247300000,14.263700,40.840420,8.800000,144.800000
2024-01-26 12:07:01.182843+01,247300000,14.267017,40.837517,11.800000,129.200000
2024-01-26 12:07:15.150227+01,247300000,14.267750,40.837050,12.000000,130.300000
2024-01-26 12:09:24.687201+01,247300000,14.277167,40.831400,21.700000,139.800000
2024-01-26 12:10:07.183257+01,247300000,14.279017,40.827417,21.600000,171.300000
2024-01-26 12:10:32.988498+01,247300000,14.279135,40.824787,21.700000,178.700000
2024-01-26 12:11:06.58022+01,247300000,14.279200,40.821287,22.400000,180.300000
2024-01-26 12:12:31.308278+01,247300000,14.279200,40.812770,21.900000,178.800000
2024-01-26 12:13:31.269045+01,247300000,14.279283,40.806633,22.100000,179.600000
2024-01-26 12:14:43.126067+01,247300000,14.279267,40.799367,21.700000,178.600000
2024-01-26 12:15:50.329114+01,247300000,14.279167,40.792853,21.900000,181.000000
2024-01-26 12:17:01.703453+01,247300000,14.279233,40.785400,21.700000,180.100000
2024-01-26 12:17:18.495971+01,247300000,14.279200,40.783583,21.900000,180.600000
2024-01-26 12:18:06.832096+01,247300000,14.279218,40.778800,21.200000,179.300000
2024-01-26 12:19:06.836724+01,247300000,14.279250,40.772703,22.100000,179.600000
2024-01-26 12:20:06.843078+01,247300000,14.279283,40.766650,21.600000,180.100000
2024-01-26 12:21:07.566835+01,247300000,14.279402,40.760567,21.900000,178.300000
2024-01-26 12:22:13.00102+01,247300000,14.279668,40.753883,21.900000,178.600000
2024-01-26 12:23:12.906254+01,247300000,14.279817,40.747800,22.100000,178.000000
2024-01-26 12:23:30.92838+01,247300000,14.279883,40.745970,22.000000,178.800000
